time,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
139.47,7.234760260086344e-16,1.8366070244837597e-31,0.0,0.0,0.0,1.7827961329430764e-12,1.0,2.0437189003477583e-18,-7.723782998244615e-30,0.0,0.0,0.0,-1.2827813208792548e-17
139.49,7.235576865975558e-16,1.85275642600834e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2552055144089933e-18,-8.257204640907087e-30,0.0,0.0,0.0,-8.581110258078427e-20
139.54,7.237433654475915e-16,1.857625639133396e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.4351550151736794e-18,-9.136396731958401e-30,0.0,0.0,0.0,-2.3020644148106132e-17
139.56,7.238010753935003e-16,1.8494820987750027e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.4741042334564644e-18,-9.317041392304715e-30,0.0,0.0,0.0,-1.6123818152575687e-17
139.59,7.238105598522735e-16,1.8406417833112354e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.7042856633500282e-18,-1.021195694407883e-29,0.0,0.0,0.0,-1.8570528184674828e-17
139.63,7.237938037243915e-16,1.8387328474634632e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2284514211922716e-18,-8.419911468220553e-30,0.0,0.0,0.0,4.423285774507376e-17
139.66,7.238508280571255e-16,1.8387198346627398e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2040704769985496e-18,-8.328913370726954e-30,0.0,0.0,0.0,-5.865930011636361e-19
139.69,7.238708489927431e-16,1.8384619296138847e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.6738525619873885e-18,-6.325781439471094e-30,0.0,0.0,0.0,-4.2485743751384904e-17
139.73,7.239528406211547e-16,1.838756214025209e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.2881245681078403e-18,-4.868229248502431e-30,0.0,0.0,0.0,5.618656978708903e-18
139.76,7.240263647423922e-16,1.8390483051467857e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.275896297075045e-18,-4.822152718745267e-30,0.0,0.0,0.0,2.0810163270168773e-17
139.79,7.240097867169468e-16,1.8389891880622629e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.1030963086596682e-18,-4.169019158554078e-30,0.0,0.0,0.0,-8.307399859255048e-18
139.83,7.23943458043596e-16,1.838691972650008e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,8.67423381236473e-19,-3.2783658877691436e-30,0.0,0.0,0.0,5.677175366625265e-18
139.86,7.23956583966273e-16,1.8387252140196768e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,7.242035737182111e-19,-2.7372088286081946e-30,0.0,0.0,0.0,6.9299274320763775e-18
139.89,7.239909844523475e-16,1.8389033458108251e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,6.827066849255108e-19,-2.5802795274514497e-30,0.0,0.0,0.0,-1.8979454327819564e-18
139.93,7.240191287080513e-16,1.8390288173858806e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,4.308450281270682e-19,-1.6284397830973738e-30,0.0,0.0,0.0,-1.856723348137915e-17
139.97,7.239874258818382e-16,1.8388883782174977e-31,0.0,0.0,0.0,1.7827961329430764e-12,1.0,8.470509246285389e-20,-3.2030352633447116e-31,0.0,0.0,0.0,2.0307039578012513e-17
139.99,7.240173781226854e-16,1.8398740787409213e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.0082510038520032e-19,-3.6686469502504418e-31,0.0,0.0,0.0,-2.434214349102753e-18
140.03,7.240943655889547e-16,1.840075892549533e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,6.867474664162633e-19,-2.5919488049666523e-30,0.0,0.0,0.0,-2.8683904954300957e-18
140.06,7.242050128524382e-16,1.8404508538091254e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.0922335593567128e-18,-4.1262339882379584e-30,0.0,0.0,0.0,3.807274749547504e-17
140.09,7.243631775279296e-16,1.8406940038086313e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.6946067032206812e-18,-6.403987129796792e-30,0.0,0.0,0.0,2.0902045715273834e-17
140.13,7.244959453184663e-16,1.8411840624470645e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.216599921842946e-18,-8.377035307119741e-30,0.0,0.0,0.0,1.3011542043997324e-17
140.16,7.245404627660319e-16,1.8413474067592599e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.3202861881195817e-18,-8.769024812834273e-30,0.0,0.0,0.0,2.5764471028914703e-17
140.19,7.246588107934248e-16,1.8418731017144554e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.967817292104541e-18,-1.1216127695410372e-29,0.0,0.0,0.0,1.2863596778276692e-17
140.23,7.248914616151099e-16,1.842900076061513e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.7043590481415e-18,-1.3999673178971595e-29,0.0,0.0,0.0,1.494748927490825e-18
140.26,7.250276751498635e-16,1.843482970164655e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.7837378551918474e-18,-1.4299741564213052e-29,0.0,0.0,0.0,-2.672655692129168e-17
140.29,7.250868420752241e-16,1.8437643429729488e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.5287492821347734e-18,-1.3336007323061453e-29,0.0,0.0,0.0,-7.142443509986974e-18
140.33,7.252430793238259e-16,1.8444558159697282e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.631495797477249e-18,-1.3724303381890056e-29,0.0,0.0,0.0,5.789425155739284e-18
140.36,7.253943557222071e-16,1.8451063685230625e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,4.028209192149099e-18,-1.5223636634151376e-29,0.0,0.0,0.0,-2.7317473809028864e-17
140.39,7.254706570191176e-16,1.845462772362409e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,4.007854353171675e-18,-1.5146633212382522e-29,0.0,0.0,0.0,2.3026983977419024e-17
140.43,7.256231335183633e-16,1.8461371991304289e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.703677143498252e-18,-1.3997082592315502e-29,0.0,0.0,0.0,-3.8974402137337706e-18
140.47,7.256993079532234e-16,1.8464741260964044e-31,0.0,0.0,0.0,1.7827961329430764e-12,1.0,3.490556068866595e-18,-1.319165252532312e-29,0.0,0.0,0.0,-1.4298060843276207e-17
140.49,7.257351740307768e-16,1.8667951051898047e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.3203333987296633e-18,-1.2208786653797057e-29,0.0,0.0,0.0,-3.584087716136602e-17
140.53,7.258381937696049e-16,1.8639303808724627e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.0580109655751634e-18,-1.1472163917276169e-29,0.0,0.0,0.0,9.064644143353823e-19
140.57,7.258932667746995e-16,1.853257605725542e-31,0.0,0.0,0.0,1.7827961329430764e-12,1.0,2.4922891626495245e-18,-9.397871457389822e-30,0.0,0.0,0.0,-6.191872926578297e-18
140.59,7.26031052679574e-16,1.8716057587763563e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.8417814014079314e-18,-1.0385350129696927e-29,0.0,0.0,0.0,1.4547015502154776e-17
140.63,7.261468550094172e-16,1.8664113679003192e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.7193059717200576e-18,-1.0188476494210124e-29,0.0,0.0,0.0,3.994506721690596e-18
140.66,7.262398564651678e-16,1.8642331284076824e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.7347130164373082e-18,-1.0290915486783383e-29,0.0,0.0,0.0,-1.9425349557153266e-17
140.69,7.2632982397304435e-16,1.8526590040594382e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.9820248531736193e-18,-1.1258915181054558e-29,0.0,0.0,0.0,-1.7150001018832578e-17
